GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Cars,com.app.validate.impl,CarsValidator,0,60,0,10,0,14,0,7,0,2
Cars,com.app.json.deserialize.generic,AbstractJsonDeserializer,0,48,0,4,0,10,0,4,0,2
Cars,com.app.model,Cars,0,6,0,0,0,1,0,1,0,1
Cars,com.app.json.serialiaze.generic,AbstractJsonSerializer,0,36,0,4,0,9,0,4,0,2
Cars,com.app.json.serialiaze.impl,CarSerializer,0,4,0,0,0,2,0,1,0,1
Cars,com.app.json.serialiaze.impl,CarsSerializer,0,4,0,0,0,2,0,1,0,1
Cars,com.app.color,Color,0,75,0,0,0,13,0,1,0,1
Cars,com.app.validate,Validator,0,15,0,2,0,4,0,2,0,1
Cars,com.app.car,CarValidator,0,113,0,18,0,25,0,13,0,4
Cars,com.app.car,CarMapper,3,30,0,0,0,6,1,6,1,6
Cars,com.app.car,Car,116,244,34,34,0,22,25,23,1,13
Cars,com.app.car,CarCriterion,0,59,0,0,0,5,0,3,0,3
Cars,com.app.car,CarCriterionValidator,49,55,12,12,11,14,12,2,0,2
Cars,com.app.collectors.generic,CollectorGeneric,6,24,0,0,2,5,1,6,1,6
Cars,com.app.service.impl,CarServiceImpl,7,291,0,24,2,88,2,35,2,23
Cars,com.app.statistic.impl,CarStatistic,69,77,21,9,0,3,16,4,1,4
Cars,com.app.statistic.impl,CarMinMax,58,51,15,7,1,2,13,3,2,3
Cars,com.app.repository.impl,CarsRepositoryImpl,0,18,0,0,0,6,0,2,0,2
Cars,com.app.json.deserialize.impl,CarsDeserializer,0,4,0,0,0,2,0,1,0,1
Cars,com.app.collectors,CarMinMaxCollector,0,28,0,0,0,12,0,3,0,3
Cars,com.app.collectors,CarStatisticCollector,0,44,0,0,0,17,0,3,0,3
Cars,com.app.json.converter.impl,GsonConverter,0,46,0,8,0,12,0,7,0,3
