GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
cars-spring-boot-jpa,com.app.persistence.view,CarCriterionFilteringView,0,27,0,0,0,1,0,1,0,1
cars-spring-boot-jpa,com.app.persistence.view,GroupByAndPriceStatisticView,0,22,0,0,0,2,0,2,0,2
cars-spring-boot-jpa,com.app.persistence.view,GroupByView,0,17,0,0,0,2,0,2,0,2
cars-spring-boot-jpa,com.app.persistence.view,ComponentsAndCarsView,0,24,0,0,0,1,0,1,0,1
cars-spring-boot-jpa,com.app.persistence.view,PriceSpeedStatisticView,0,37,0,0,0,2,0,2,0,2
cars-spring-boot-jpa,com.app.persistence.impl,CarRepositoryCustomImpl,0,143,0,0,0,22,0,5,0,5
cars-spring-boot-jpa,com.app.persistence.impl,CarSpecificationImpl,0,138,0,22,0,29,0,14,0,3
cars-spring-boot-jpa,com.app.service.impl.generic,CrudServiceGeneric,0,72,0,4,0,18,0,9,0,7
cars-spring-boot-jpa,com.app.controller.dto,ResponseDto,0,19,0,0,0,5,0,3,0,3
cars-spring-boot-jpa,com.app.controller.dto.components,CreateComponentDto,0,12,0,0,0,5,0,2,0,2
cars-spring-boot-jpa,com.app.controller.dto.components,ComponentDto,0,9,0,0,0,1,0,1,0,1
cars-spring-boot-jpa,com.app.controller.dto.components,ComponentsWithCarsDto,0,9,0,0,0,1,0,1,0,1
cars-spring-boot-jpa,com.app.validate,CreateComponentDtoValidator,0,37,0,6,0,10,0,5,0,2
cars-spring-boot-jpa,com.app.validate,CreateCarDtoValidator,0,127,0,22,0,29,0,13,0,2
cars-spring-boot-jpa,com.app.validate,ParameterCarValidator,0,54,0,8,0,16,0,8,0,4
cars-spring-boot-jpa,com.app.color,Color,0,75,0,0,0,13,0,1,0,1
cars-spring-boot-jpa,com.app.controller.dto.car,GroupByDto,0,9,0,0,0,1,0,1,0,1
cars-spring-boot-jpa,com.app.controller.dto.car,GroupByAndPriceStatisticDto,0,12,0,0,0,1,0,1,0,1
cars-spring-boot-jpa,com.app.controller.dto.car,PriceSpeedStatisticDto,0,21,0,0,0,1,0,1,0,1
cars-spring-boot-jpa,com.app.controller.dto.car,CarCriterionDto,0,47,0,0,0,2,0,2,0,2
cars-spring-boot-jpa,com.app.controller.dto.car,CarWithoutComponentsDto,0,21,0,0,0,1,0,1,0,1
cars-spring-boot-jpa,com.app.controller.dto.car,CarDto,0,24,0,0,0,1,0,1,0,1
cars-spring-boot-jpa,com.app.controller.dto.car,CreateCarDto,0,39,0,0,0,9,0,2,0,2
cars-spring-boot-jpa,com.app.persistence.entity,CarEntity,0,42,0,0,0,10,0,2,0,2
cars-spring-boot-jpa,com.app.persistence.entity,ComponentEntity,0,8,0,0,0,1,0,1,0,1
cars-spring-boot-jpa,com.app.persistence.entity,BaseEntity,27,38,7,9,1,7,7,3,1,1
cars-spring-boot-jpa,com.app.service.impl,CarServiceImpl,0,456,0,33,0,144,0,40,0,23
cars-spring-boot-jpa,com.app.service.impl,ComponentServiceImpl,0,42,0,0,0,16,0,3,0,3
cars-spring-boot-jpa,com.app.controller,GlobalExceptionHandler,0,26,0,0,0,5,0,5,0,5
cars-spring-boot-jpa,com.app.controller,CarController,0,146,0,0,0,21,0,17,0,17
cars-spring-boot-jpa,com.app.controller,ComponentsController,0,55,0,0,0,10,0,6,0,6
